NGram,pathogen,disease,symptom,other
 a,0.004825491908981239,0.004889863815007769,0.009472088911341247,0.009924550709956861
 b,0.0028079371022089105,0.0013024403619413217,0.004672897196261682,0.0050168538344656545
 c,0.006135862556678731,0.0015309386710538342,0.007956554685526649,0.00786803360287825
 d,0.00189275760222971,0.002924778356640161,0.008714321798433948,0.0060996908674921845
 e,0.002017554806772328,0.0012338908692075678,0.003283657489264966,0.004754877132926979
 f,0.0023711468863097467,0.004592816013161503,0.010482445061884314,0.005540807237543008
 g,0.0018719580681392737,0.00013709898546750753,0.002020712301086133,0.002362156592207066
 h,0.002183951079495819,0.0010053925600950553,0.008714321798433948,0.004545295771696037
 i,0.0015183659886018554,0.013161502604880724,0.003283657489264966,0.00840071956267356
 k,0.0005407878863513458,2.2849830911251256e-05,0.00012629451881788332,0.000598180135179978
 l,0.0017887599317775282,0.0005712457727812814,0.005683253346804749,0.0035585168625670224
 m,0.0044303007612629475,0.001073942052828809,0.006567314978529932,0.005619400248004611
 n,0.0014559673863305462,0.0003884471254912714,0.006693609497347815,0.003191749480412875
 o,0.002932734306751529,0.0007083447582487889,0.004799191715079565,0.007863667324519272
 p,0.004575897499896002,0.002422082076592633,0.008840616317251832,0.007732678973749935
 r,0.0019135571363201463,0.0006854949273375377,0.005178075271533215,0.005763487433850883
 s,0.006822247181663131,0.0045242665204277485,0.006819904016165698,0.0075973243446216185
 t,0.002766338034028038,0.0027191298784388996,0.004420308158625916,0.008942138079186824
 u,0.0006239860227130913,0.0004798464491362764,0.0008840616317251831,0.002087081055591456
 v,0.0060526644203169845,0.0007540444200712915,0.006441020459712048,0.0017421450652321986
 w,0.00037439161362785476,0.0007768942509825428,0.003915130083354383,0.006990411652723684
a ,0.018553184408669245,0.0011881912073850654,0.00025258903763576663,0.00523953403077353
ab,0.0010399767045218187,0.008637236084452975,0.007451376610255115,0.0018032729622578898
ac,0.012063729772453097,0.01272735581756695,0.007956554685526649,0.004187260946259846
ad,0.0015391655226922917,0.0007311945891600402,0.006188431422076282,0.002292296138463419
ae,0.00636465743167353,0.014692441275934559,0.00025258903763576663,0.0005021220112824633
af,0.0004159906818087275,0.00013709898546750753,0.00012629451881788332,0.0008121277747698972
ag,0.0012479720454261825,0.0010282423910063065,0.003788835564536499,0.0023577903138480884
ai,0.0007071841590748368,0.0009139932364500503,0.0071987875726193485,0.0020652496637965662
ak,0.0002703939431756729,9.139932364500503e-05,0.0031573629704470824,0.00033183715528232354
al,0.0070718415907483675,0.006123754684215337,0.008840616317251832,0.007693382468519133
am,0.0031407296476558925,0.0008682935746275477,0.003915130083354383,0.002449482159386625
an,0.009505387079329424,0.004935563476830271,0.004167719120990149,0.00888537646052011
ao,0.0002495944090852365,9.139932364500503e-05,0.00012629451881788332,5.23953403077353e-05
ap,0.002267149215857565,0.0017365871492550954,0.002020712301086133,0.0018949648077964266
ar,0.007945422022546694,0.011424915455625628,0.008335438241980297,0.00587701067118431
as,0.005990265818045676,0.005346860433232794,0.004672897196261682,0.00687252213703128
at,0.004908690045342984,0.0034960241294214422,0.006693609497347815,0.008680161377648148
au,0.0010191771704313823,0.00011424915455625629,0.0053043697903510986,0.0012618544457446252
av,0.003931111943092475,0.0003884471254912714,0.00025258903763576663,0.0012312904972317795
aw,6.239860227130913e-05,6.854949273375377e-05,0.00012629451881788332,0.00011788951569240442
ax,0.0002703939431756729,0.00045699661822502514,0.0013892397069967164,0.00022704647466685295
b ,0.00012479720454261825,6.854949273375377e-05,0.0010103561505430665,0.0005414185165132648
ba,0.009338990806605931,0.011036468330134356,0.002020712301086133,0.001340447456206228
