,NGram,percent_in_tag,percent_in_other
0, viru,0.005197865409938319,0.0003288131313872685
1,1252 ,2.3101624044170307e-05,unique_to_tag
2,1d125,2.3101624044170307e-05,unique_to_tag
3,2 vir,2.3101624044170307e-05,unique_to_tag
4,252 v,2.3101624044170307e-05,unique_to_tag
5,52 vi,2.3101624044170307e-05,unique_to_tag
6,71d12,2.3101624044170307e-05,unique_to_tag
7,d1252,2.3101624044170307e-05,unique_to_tag
8,virus,0.010395730819876638,0.000469733044838955
9,1 vir,2.3101624044170307e-05,unique_to_tag
10,31 vi,2.3101624044170307e-05,unique_to_tag
11,3531 ,2.3101624044170307e-05,unique_to_tag
12,531 v,2.3101624044170307e-05,unique_to_tag
13,78v35,2.3101624044170307e-05,unique_to_tag
14,8v353,2.3101624044170307e-05,unique_to_tag
15,v3531,2.3101624044170307e-05,unique_to_tag
16, defe,2.3101624044170307e-05,2.6422483772191217e-05
17,a def,2.3101624044170307e-05,1.1743326120973873e-05
18,abiot,2.3101624044170307e-05,unique_to_tag
19,biotr,2.3101624044170307e-05,unique_to_tag
20,ctiva,2.3101624044170307e-05,0.0001027541035585214
21,defec,2.3101624044170307e-05,2.3486652241947747e-05
22,ectiv,2.3101624044170307e-05,0.0004080805827038421
23,efect,2.3101624044170307e-05,2.3486652241947747e-05
24,fecti,2.3101624044170307e-05,0.0008102895023471973
25,hia d,4.620324808834061e-05,unique_to_tag
26,ia de,9.240649617668123e-05,2.9358315302434683e-06
27,iotro,2.3101624044170307e-05,unique_to_tag
28,ophia,0.0006237438491925982,2.9358315302434683e-06
29,otrop,0.00016171136830919213,8.807494590730405e-06
30,phia ,4.620324808834061e-05,unique_to_tag
31,rophi,0.00018481299235336245,5.5780799074625903e-05
32,troph,0.00011550812022085152,7.045995672584324e-05
33, caer,2.3101624044170307e-05,unique_to_tag
34,a cae,4.620324808834061e-05,2.9358315302434683e-06
35,absid,4.620324808834061e-05,unique_to_tag
36,aerul,2.3101624044170307e-05,unique_to_tag
37,bsidi,4.620324808834061e-05,unique_to_tag
38,caeru,2.3101624044170307e-05,unique_to_tag
39,dia c,9.240649617668123e-05,2.9358315302434683e-06
40,erule,2.3101624044170307e-05,unique_to_tag
41,ia ca,0.00016171136830919213,8.807494590730405e-06
42,idia ,6.930487213251092e-05,2.9358315302434683e-06
43,rulea,2.3101624044170307e-05,unique_to_tag
44,sidia,4.620324808834061e-05,unique_to_tag
45, acre,2.3101624044170307e-05,2.9358315302434683e-06
46,acaul,2.3101624044170307e-05,unique_to_tag
47,acrem,0.0003927276087508952,unique_to_tag
48,auliu,2.3101624044170307e-05,unique_to_tag
49,cauli,4.620324808834061e-05,unique_to_tag
50,cremo,0.0004158292327950655,unique_to_tag
51,emoni,0.0004851341049275764,2.9358315302434683e-06
52,ium a,0.000831658465590131,4.110164142340856e-05
53,lium ,0.00025411786448587334,2.9358315302434687e-05
54,m acr,2.3101624044170307e-05,unique_to_tag
55,moniu,0.0004389308568392358,unique_to_tag
56,onium,0.0004389308568392358,unique_to_tag
57,remon,0.0003927276087508952,unique_to_tag
58,ulium,2.3101624044170307e-05,unique_to_tag
59,um ac,0.00011550812022085152,5.871663060486937e-06
60, stru,2.3101624044170307e-05,6.752412519559978e-05
61,achae,4.620324808834061e-05,unique_to_tag
62,aetom,6.930487213251092e-05,unique_to_tag
63,arium,0.0003696259847067249,8.807494590730405e-06
64,chaet,0.00027721948853004367,unique_to_tag
65,etomi,6.930487213251092e-05,unique_to_tag
66,haeto,0.00011550812022085152,unique_to_tag
67,ium s,0.0007392519694134498,3.229414683267816e-05
68,m str,6.930487213251092e-05,unique_to_tag
69,mariu,2.3101624044170307e-05,unique_to_tag
70,mium ,6.930487213251092e-05,2.9358315302434683e-06
71,omium,6.930487213251092e-05,2.9358315302434683e-06
72,rumar,2.3101624044170307e-05,unique_to_tag
73,strum,4.620324808834061e-05,2.9358315302434683e-06
74,tomiu,6.930487213251092e-05,unique_to_tag
75,truma,2.3101624044170307e-05,unique_to_tag
76,um st,6.930487213251092e-05,unique_to_tag
77,umari,2.3101624044170307e-05,unique_to_tag
78, rubu,0.00032342273661838426,unique_to_tag
79,a rub,0.00016171136830919213,unique_to_tag
80,achim,4.620324808834061e-05,unique_to_tag
81,aviru,0.0030725159978746506,9.981827202827793e-05
82,bulav,0.00032342273661838426,unique_to_tag
83,chimo,4.620324808834061e-05,unique_to_tag
84,himot,4.620324808834061e-05,unique_to_tag
85,imota,4.620324808834061e-05,unique_to_tag
86,irus ,0.0031418208700071614,0.00034055645750824233
87,lavir,0.0004620324808834061,unique_to_tag
88,mota ,4.620324808834061e-05,unique_to_tag
89,ota r,4.620324808834061e-05,unique_to_tag
90,rubul,0.00032342273661838426,unique_to_tag
91,rus 1,0.0006930487213251092,unique_to_tag
92,ta ru,4.620324808834061e-05,unique_to_tag
93,ubula,0.00032342273661838426,5.871663060486937e-06
94,ulavi,0.00032342273661838426,unique_to_tag
95,rus 2,0.0004389308568392358,2.9358315302434683e-06
96, deni,4.620324808834061e-05,2.9358315302434683e-06
97,achro,0.00013860974426502183,unique_to_tag
98,acter,0.0077852473028853925,0.00046092555024822453
99,bacte,0.0077852473028853925,0.00029358315302434687
100,chrom,0.00018481299235336245,2.6422483772191217e-05
101,cter ,0.0022408575322845196,2.9358315302434687e-05
102,denit,4.620324808834061e-05,2.9358315302434683e-06
103,enitr,4.620324808834061e-05,unique_to_tag
104,er de,2.3101624044170307e-05,3.522997836292162e-05
105,fican,6.930487213251092e-05,0.0002495456800706948
106,hromo,0.00018481299235336245,2.9358315302434683e-06
107,icans,0.00011550812022085152,1.1743326120973873e-05
108,ifica,6.930487213251092e-05,0.0003640431097501901
109,itrif,4.620324808834061e-05,unique_to_tag
110,mobac,0.00016171136830919213,unique_to_tag
111,nitri,6.930487213251092e-05,2.9358315302434683e-06
112,obact,0.005151662161849978,7.926745131657364e-05
113,omoba,0.00016171136830919213,unique_to_tag
114,r den,2.3101624044170307e-05,5.871663060486937e-06
115,rific,6.930487213251092e-05,2.9358315302434683e-06
116,romob,0.00016171136830919213,unique_to_tag
117,ter d,4.620324808834061e-05,2.3486652241947747e-05
118,trifi,6.930487213251092e-05,unique_to_tag
119, inso,4.620324808834061e-05,unique_to_tag
120,er in,4.620324808834061e-05,0.00017614989181460812
121,insol,4.620324808834061e-05,unique_to_tag
122,litus,4.620324808834061e-05,8.807494590730405e-06
123,nsoli,4.620324808834061e-05,5.871663060486937e-06
124,olitu,4.620324808834061e-05,unique_to_tag
125,r ins,2.3101624044170307e-05,8.807494590730405e-06
126,solit,6.930487213251092e-05,8.807494590730405e-06
127,ter i,6.930487213251092e-05,6.458829366535631e-05
128, piec,2.3101624044170307e-05,unique_to_tag
129,audii,2.3101624044170307e-05,unique_to_tag
130,chaud,2.3101624044170307e-05,unique_to_tag
131,echau,2.3101624044170307e-05,unique_to_tag
132,er pi,2.3101624044170307e-05,unique_to_tag
133,haudi,2.3101624044170307e-05,unique_to_tag
134,iecha,2.3101624044170307e-05,unique_to_tag
135,piech,2.3101624044170307e-05,unique_to_tag
136,r pie,2.3101624044170307e-05,unique_to_tag
137,ter p,0.00020791461639753275,3.816580989316509e-05
138, ruhl,2.3101624044170307e-05,unique_to_tag
139,andii,4.620324808834061e-05,unique_to_tag
140,er ru,2.3101624044170307e-05,unique_to_tag
141,hland,2.3101624044170307e-05,unique_to_tag
142,landi,6.930487213251092e-05,unique_to_tag
143,r ruh,2.3101624044170307e-05,unique_to_tag
144,ruhla,2.3101624044170307e-05,unique_to_tag
145,ter r,9.240649617668123e-05,3.229414683267816e-05
146,uhlan,2.3101624044170307e-05,unique_to_tag
147, span,2.3101624044170307e-05,unique_to_tag
148,anius,2.3101624044170307e-05,unique_to_tag
149,er sp,6.930487213251092e-05,5.871663060486937e-06
150,paniu,2.3101624044170307e-05,unique_to_tag
151,r spa,2.3101624044170307e-05,unique_to_tag
152,spani,4.620324808834061e-05,unique_to_tag
153,ter s,0.00027721948853004367,2.055082071170428e-05
154, xylo,4.620324808834061e-05,unique_to_tag
155,er xy,2.3101624044170307e-05,unique_to_tag
156,idans,4.620324808834061e-05,unique_to_tag
157,losox,2.3101624044170307e-05,unique_to_tag
158,osoxi,2.3101624044170307e-05,unique_to_tag
159,oxida,2.3101624044170307e-05,1.761498918146081e-05
160,r xyl,2.3101624044170307e-05,unique_to_tag
161,soxid,2.3101624044170307e-05,unique_to_tag
162,ter x,2.3101624044170307e-05,unique_to_tag
163,xidan,2.3101624044170307e-05,5.871663060486937e-06
164,xylos,4.620324808834061e-05,unique_to_tag
165,yloso,2.3101624044170307e-05,unique_to_tag
166, ferm,9.240649617668123e-05,1.1743326120973873e-05
167,acida,4.620324808834061e-05,5.871663060486937e-06
168,amino,2.3101624044170307e-05,2.6422483772191217e-05
169,ccus ,0.002887703005521288,0.00010568993508876487
170,cidam,2.3101624044170307e-05,unique_to_tag
171,coccu,0.0029108046295654583,0.00010568993508876487
172,cus f,0.00013860974426502183,2.9358315302434683e-06
173,damin,2.3101624044170307e-05,2.9358315302434683e-06
174,entan,0.00011550812022085152,2.9358315302434683e-06
175,ermen,0.00013860974426502183,1.1743326120973873e-05
176,ferme,0.00013860974426502183,1.1743326120973873e-05
177,idami,2.3101624044170307e-05,unique_to_tag
178,inoco,4.620324808834061e-05,5.871663060486937e-06
179,menta,0.00013860974426502183,0.00017321406028436464
180,minoc,4.620324808834061e-05,5.871663060486937e-06
181,nococ,6.930487213251092e-05,1.1743326120973873e-05
182,ntans,0.00011550812022085152,unique_to_tag
183,occus,0.002887703005521288,0.00010568993508876487
184,ococc,0.0028414997574329475,0.00013504825039119955
185,rment,0.00013860974426502183,1.761498918146081e-05
186,s fer,4.620324808834061e-05,unique_to_tag
187,us fe,4.620324808834061e-05,unique_to_tag
188, aven,4.620324808834061e-05,2.9358315302434683e-06
