NGram,pathogen,disease,symptom,other
 ab,0.0002511668794608284,0.0010133678309616214,0.005230622919638612,0.00048277978847211385
 ac,0.0002930280260376332,2.15610176800345e-05,0.0023775558725630053,0.0009048124512424386
 ag,0.00010465286644201185,6.46830530401035e-05,9.51022349025202e-05,0.00047958257132991447
 al,0.0006279171986520711,0.00028029322984044847,0.0001902044698050404,0.000930390188380034
 an,0.0008162923582476924,0.0014445881845623113,0.0023775558725630053,0.005336155410330848
 ar,0.00033488917261443793,0.0015308322552824492,0.0002853067047075606,0.0010071233997928203
 as,0.00033488917261443793,0.00021561017680034498,9.51022349025202e-05,0.0013811978054301536
 at,0.0002930280260376332,0.00015092712376024148,0.0009510223490252021,0.0006010768227334927
 ba,0.0002720974527492308,0.0007761966364812419,0.0013314312886352829,0.0005563157827427008
 bi,0.00037675031919124263,0.00015092712376024148,0.0001902044698050404,0.00043482153133912244
 bo,0.0007744312116708876,0.00021561017680034498,0.0005706134094151213,0.00036128553706853557
 ch,0.001130250957573728,6.46830530401035e-05,0.0026628625772705658,0.0010358983540726151
 cl,0.0002093057328840237,4.3122035360069e-05,9.51022349025202e-05,0.0007673321141278631
 co,0.002093057328840237,0.00030185424752048295,0.003613884926295768,0.0031652449707774352
 cr,0.00035581974590284026,0.00015092712376024148,0.002282453637660485,0.0002877495427979487
 cy,0.0001255834397304142,0.0006037084950409659,0.0003804089396100808,0.0002270024170961595
 de,0.0008162923582476924,6.46830530401035e-05,0.0028530670470756064,0.0019662885424526493
 di,0.0004186114657680474,0.0026304441569642086,0.005420827389443652,0.0021709104395534126
 ea,4.186114657680474e-05,4.3122035360069e-05,9.51022349025202e-05,0.00029094675994014807
 en,0.0007325700650940829,0.0009055627425614489,0.0008559201141226819,0.000639443428439886
 ep,8.372229315360948e-05,6.46830530401035e-05,0.00047551117451260106,0.00028455232565574926
 fa,0.00035581974590284026,8.6244070720138e-05,0.0021873514027579647,0.0007353599427058688
 fe,0.0006279171986520711,0.0034928848641655884,0.007513076557299096,0.00047638535418771503
 fi,0.0001255834397304142,0.0004959034066407934,0.0002853067047075606,0.0006202601255866894
 fl,0.00046047261234485214,6.46830530401035e-05,0.0005706134094151213,0.00017904415996316807
 fr,8.372229315360948e-05,4.3122035360069e-05,0.0003804089396100808,0.0009112068855268374
 ga,0.00037675031919124263,4.3122035360069e-05,0.0005706134094151213,0.0002525801542337549
 ge,0.0002930280260376332,2.15610176800345e-05,9.51022349025202e-05,0.0005371324798895042
 gl,0.0002930280260376332,2.15610176800345e-05,9.51022349025202e-05,0.00016625529139437033
 gr,0.00033488917261443793,4.3122035360069e-05,0.0001902044698050404,0.000543526914173903
 ha,0.0004186114657680474,6.46830530401035e-05,0.0001902044698050404,0.001154195388333994
 he,0.0006488477719404735,0.0007761966364812419,0.005801236329053733,0.0009367846226644329
 hi,0.00018837515959562132,4.3122035360069e-05,0.00047551117451260106,0.0008056987198342563
 ho,0.0005860560520752664,4.3122035360069e-05,0.0001902044698050404,0.0004923714398987122
 hy,0.0001255834397304142,2.15610176800345e-05,0.0012363290537327628,0.00025577737137595435
 il,2.093057328840237e-05,4.3122035360069e-05,9.51022349025202e-05,0.0001822413771053675
 im,0.00016744458630721897,6.46830530401035e-05,0.0002853067047075606,0.0009207985369534357
 in,0.0010465286644201184,0.012289780077619664,0.0020922491678554444,0.005173097336078677
 is,8.372229315360948e-05,6.46830530401035e-05,9.51022349025202e-05,0.0015730308339621194
 ke,4.186114657680474e-05,2.15610176800345e-05,9.51022349025202e-05,0.00010550816569258118
 le,0.0002930280260376332,0.00010780508840017249,0.0019971469329529245,0.0009911373140818233
 li,0.00031395859932603555,0.000129366106080207,0.0012363290537327628,0.0006650211655774813
 lo,0.0002093057328840237,4.3122035360069e-05,0.002282453637660485,0.0005754990855958974
 ly,0.0002093057328840237,0.000258732212160414,0.0011412268188302425,0.00010870538283478061
 ma,0.0016535152897837872,0.000129366106080207,0.0017118402282453639,0.0014259588454209457
 me,0.0005441949054984616,0.000646830530401035,0.0010461245839277222,0.0009847428797974244
