,NGram,percent_in_tag,percent_in_other
0, a ba,2.055082071170428e-05,2.055082071170428e-05
1, a co,0.00013504825039119955,0.00013504825039119955
2, basi,4.403747295365203e-05,4.403747295365203e-05
3, comm,0.00027303233231264256,0.00027303233231264256
4, fung,8.513911437706058e-05,8.513911437706058e-05
5, inva,7.045995672584324e-05,7.045995672584324e-05
6, is a,0.00040514475117359866,0.00040514475117359866
7, of r,0.00016147073416339076,0.00016147073416339076
8, rott,2.9358315302434683e-06,2.9358315302434683e-06
9, wood,2.9358315302434683e-06,2.9358315302434683e-06
10,a bas,1.4679157651217343e-05,1.4679157651217343e-05
11,a com,9.688244049803446e-05,9.688244049803446e-05
12,ader ,5.871663060486937e-06,5.871663060486937e-06
13,asidi,1.1743326120973873e-05,1.1743326120973873e-05
14,basid,1.1743326120973873e-05,1.1743326120973873e-05
15,cetou,2.9358315302434683e-06,2.9358315302434683e-06
16,chizo,5.871663060486937e-06,5.871663060486937e-06
17,commo,0.00022018736476826014,0.00022018736476826014
18,commu,6.458829366535631e-05,6.458829366535631e-05
19,der o,8.807494590730405e-06,8.807494590730405e-06
20,diomy,2.9358315302434683e-06,2.9358315302434683e-06
21,e a b,5.871663060486937e-06,5.871663060486937e-06
22,en wo,5.871663060486937e-06,5.871663060486937e-06
23,er of,0.00012330492427022567,0.00012330492427022567
24,etous,2.9358315302434683e-06,2.9358315302434683e-06
25,f rot,2.3486652241947747e-05,2.3486652241947747e-05
26,fungu,2.055082071170428e-05,2.055082071170428e-05
27,gus i,5.871663060486937e-06,5.871663060486937e-06
28,hizop,8.807494590730405e-06,8.807494590730405e-06
29,hyllu,5.871663060486937e-06,5.871663060486937e-06
30,idiom,2.9358315302434683e-06,2.9358315302434683e-06
31,invad,1.4679157651217343e-05,1.4679157651217343e-05
32,iomyc,2.9358315302434683e-06,2.9358315302434683e-06
33,is a ,0.00027596816384288606,0.00027596816384288606
34,izoph,5.871663060486937e-06,5.871663060486937e-06
35,llum ,1.1743326120973873e-05,1.1743326120973873e-05
36,lum c,5.871663060486937e-06,5.871663060486937e-06
37,m com,2.055082071170428e-05,2.055082071170428e-05
38,mmon ,0.00018789321793558197,0.00018789321793558197
39,mmune,0.00018789321793558197,0.00018789321793558197
40,mon i,3.816580989316509e-05,3.816580989316509e-05
41,mune ,0.00018202155487509505,0.00018202155487509505
42,mycet,2.6422483772191217e-05,2.6422483772191217e-05
43,n inv,3.229414683267816e-05,3.229414683267816e-05
44,n woo,2.9358315302434683e-06,2.9358315302434683e-06
45,ne a ,1.1743326120973873e-05,1.1743326120973873e-05
46,ngus ,2.055082071170428e-05,2.055082071170428e-05
47,nvade,5.871663060486937e-06,5.871663060486937e-06
48,of ro,2.6422483772191217e-05,2.6422483772191217e-05
49,ommon,0.00022018736476826014,0.00022018736476826014
50,ommun,6.458829366535631e-05,6.458829366535631e-05
51,omyce,2.9358315302434687e-05,2.9358315302434687e-05
52,on in,0.00034055645750824233,0.00034055645750824233
53,ophyl,3.522997836292162e-05,3.522997836292162e-05
54,otten,2.9358315302434683e-06,2.9358315302434683e-06
55,ous f,8.807494590730405e-06,8.807494590730405e-06
56,phyll,5.871663060486937e-06,5.871663060486937e-06
57,r of ,0.00016440656569363424,0.00016440656569363424
58,rotte,2.9358315302434683e-06,2.9358315302434683e-06
59,s a c,0.00011449742967949527,0.00011449742967949527
60,s fun,1.761498918146081e-05,1.761498918146081e-05
61,s is ,0.00033468479444775543,0.00033468479444775543
62,schiz,5.871663060486937e-06,5.871663060486937e-06
63,sidio,1.1743326120973873e-05,1.1743326120973873e-05
64,ten w,2.9358315302434683e-06,2.9358315302434683e-06
65,tous ,2.3486652241947747e-05,2.3486652241947747e-05
66,tten ,5.871663060486937e-06,5.871663060486937e-06
67,um co,1.4679157651217343e-05,1.4679157651217343e-05
68,une a,2.3486652241947747e-05,2.3486652241947747e-05
69,ungus,2.055082071170428e-05,2.055082071170428e-05
70,us fu,5.871663060486937e-06,5.871663060486937e-06
71,us is,4.403747295365203e-05,4.403747295365203e-05
72,vader,2.9358315302434683e-06,2.9358315302434683e-06
73,yceto,5.871663060486937e-06,5.871663060486937e-06
